# {"t_start": 1596457697.7324684, "env_id": "Ant-v2"} 
r,l,t
-195.284362,39,0.195199
-264.897,71,0.334574
-206.42195,45,0.421845
-233.603026,76,0.565301
-236.121595,54,0.666029
-191.639079,51,0.75978
-376.037698,123,0.992233
-153.108978,54,1.099944
-459.257834,135,1.34784
-48.294261,18,1.383382
-176.730039,45,1.468292
-78.119815,20,1.505646
-228.477713,61,1.630291
-382.596875,87,1.795121
-353.624979,90,1.968888
-204.408605,61,2.087922
-303.553004,86,2.2445
-201.84711,61,2.360188
-76.939392,20,2.397092
-108.342266,25,2.442968
-229.661386,62,2.555669
-94.780278,26,2.606531
-37.672401,15,2.635454
-66.705599,17,2.667369
-346.397635,78,2.810989
-59.971662,19,2.851913
-77.941471,26,2.900215
-203.986053,59,3.008302
-230.205437,65,3.12981
-182.339125,54,3.227925
-338.953575,94,3.405729
-135.845215,50,3.496894
-52.387808,20,3.533245
-63.136726,20,3.571576
-242.370058,72,3.705101
-40.163546,12,3.728072
-34.252446,24,3.770957
-52.947052,15,3.79988
-218.159098,59,3.914573
-196.797556,58,4.766449
-61.162633,15,4.796372
-137.044997,40,4.880147
-96.375465,21,4.919042
-139.28605,33,4.980878
-77.736315,22,5.021748
-662.229699,170,5.34464
-300.037384,86,5.502565
-181.678756,40,5.579159
-160.465167,44,5.661938
-119.124274,34,5.726763
-63.170136,25,5.775635
-67.851085,18,5.812502
-105.981474,28,5.876332
-149.269298,43,5.990027
-256.200889,66,6.119714
-179.289753,47,6.212434
-62.362002,20,6.249367
-425.822513,126,6.495745
-118.648378,34,6.55758
-96.705534,26,6.609411
-412.306739,88,6.77101
-114.331866,28,6.827756
-82.770045,21,6.869677
-39.085549,14,6.895609
-342.898541,84,7.050958
-277.8558,79,7.199846
-108.367814,38,7.269595
-3957.165321,1000,9.300188
-90.710947,23,9.346002
-189.175509,54,9.442374
-210.260687,65,9.583467
-56.443945,17,9.620369
-601.862922,160,9.923555
-53.951842,17,9.956468
-25.766067,13,9.982401
-613.336338,168,10.303567
-350.619165,95,10.481097
