# {"t_start": 1596461181.2465937, "env_id": "HalfCheetah-v2"} 
r,l,t
-763.073921,1000,1.410103
-728.802291,1000,2.720568
-668.084195,1000,4.692329
-609.952083,1000,6.000843
-661.241249,1000,7.414056
-706.515033,1000,8.722557
-812.534233,1000,10.141763
-772.985329,1000,11.455252
-633.321092,1000,12.87047
-560.651059,1000,14.185954
-721.489779,1000,15.603166
-631.908607,1000,16.915657
-704.06387,1000,18.330878
-766.906741,1000,19.641372
-688.32085,1000,21.057586
-687.56427,1000,22.366089
-656.611033,1000,23.786293
-608.30071,1000,25.101744
-441.174706,1000,26.525937
-586.381507,1000,27.848436
-607.946831,1000,29.269639
-646.530207,1000,30.581099
-644.08869,1000,31.997312
-665.935118,1000,33.306844
-568.067248,1000,34.728045
-534.846502,1000,36.04752
-610.571623,1000,37.465695
-433.896388,1000,38.780182
-645.463163,1000,40.203412
-471.876565,1000,41.506927
-544.182604,1000,42.923107
-608.59518,1000,44.230647
-572.308254,1000,45.647858
-489.195094,1000,46.957358
-574.880784,1000,48.373539
-394.345471,1000,49.684036
-554.018678,1000,51.101282
-454.689809,1000,52.413774
-464.02711,1000,53.833978
-338.227706,1000,55.15046
-344.335858,1000,56.571662
-423.242855,1000,57.894125
-431.132931,1000,59.2126
-426.020796,1000,60.633805
-313.143847,1000,61.947291
-376.010541,1000,63.378468
-460.800818,1000,64.70093
-290.518908,1000,66.131113
-533.414893,1000,67.448586
-327.355476,1000,68.877766
-349.774201,1000,70.195247
-181.63956,1000,71.667277
-470.468687,1000,73.049615
-357.873713,1000,74.475802
-194.034186,1000,75.798268
-469.369401,1000,77.222428
-279.326854,1000,78.537912
-360.698863,1000,79.962106
-325.885229,1000,81.271638
-417.915039,1000,82.69284
-303.183114,1000,84.011317
-146.357851,1000,85.431485
-452.428235,1000,86.74401
-271.38511,1000,88.168203
-402.747225,1000,89.493628
-141.246316,1000,90.93082
-214.704967,1000,92.245308
-260.055955,1000,93.677445
-223.860401,1000,95.001937
-64.882046,1000,96.432084
-223.720842,1000,97.746601
-287.740471,1000,99.177743
-225.02672,1000,100.487242
-204.370166,1000,101.912467
-76.903058,1000,103.216982
-117.751326,1000,104.6312
-50.867959,1000,105.935716
-169.511213,1000,107.353922
-92.654009,1000,108.676389
-65.12958,1000,110.104571
-441.394899,1000,111.41706
-235.988347,1000,112.844247
-99.708639,1000,114.1587
-107.01539,1000,115.578904
-165.726498,1000,116.891428
-114.64891,1000,118.204918
-83.058406,1000,119.631073
-109.244082,1000,120.946589
-16.029821,1000,122.36676
21.50746,1000,123.679252
-84.015038,1000,125.112456
-119.12267,1000,126.429932
-14.947774,1000,127.863102
-69.683356,1000,129.182575
161.229384,1000,130.609762
-51.947505,1000,131.92222
37.954441,1000,133.355422
38.779055,1000,134.677854
104.711901,1000,136.111022
-33.319361,1000,137.428536
68.571593,1000,138.865693
-45.996543,1000,140.186163
56.26602,1000,141.657369
67.404206,1000,143.066605
183.834377,1000,144.490797
136.623799,1000,145.799266
8.870863,1000,147.219503
87.380048,1000,148.537981
173.191061,1000,149.963173
153.789304,1000,151.275629
122.611884,1000,152.705838
147.87684,1000,154.010354
64.111138,1000,155.430558
195.669714,1000,156.742053
174.49564,1000,158.163254
245.513692,1000,159.478736
190.728429,1000,160.903927
221.084608,1000,162.223366
303.745833,1000,163.653575
218.440191,1000,164.964072
186.675708,1000,166.382282
299.832555,1000,167.698763
407.188035,1000,169.11797
-58.670965,1000,170.414507
237.683486,1000,171.820729
271.040394,1000,173.133237
236.312087,1000,174.55045
294.643211,1000,175.866932
327.368537,1000,177.181417
-24.423893,1000,178.60561
478.234669,1000,179.914112
333.236789,1000,181.339303
586.970302,1000,182.6498
363.164639,1000,184.079978
465.760725,1000,185.39247
400.658113,1000,186.811675
96.957284,1000,188.123171
324.488557,1000,189.548329
199.211451,1000,190.858859
-341.13682,1000,192.297013
383.419748,1000,193.607511
301.721365,1000,195.030706
476.182008,1000,196.34619
-348.222015,1000,197.779326
503.696469,1000,199.099797
216.913201,1000,200.523026
381.749614,1000,201.832525
428.107431,1000,203.256718
274.844385,1000,204.56323
552.292408,1000,205.985427
511.920647,1000,207.298914
466.56595,1000,208.726098
-128.901272,1000,210.056547
337.036363,1000,211.52685
598.785409,1000,212.835386
579.805316,1000,214.318423
476.252562,1000,215.634905
44.732844,1000,217.065079
-119.559079,1000,218.37558
450.117487,1000,219.801766
688.998062,1000,221.115255
403.198917,1000,222.538418
735.329857,1000,223.854932
534.764198,1000,225.278129
738.151624,1000,226.569675
380.504568,1000,227.979873
116.470272,1000,229.301374
501.071663,1000,230.728557
695.993618,1000,232.034074
682.664094,1000,233.466208
8.579759,1000,234.791699
608.869753,1000,236.098209
751.242762,1000,237.527387
696.989552,1000,238.831899
751.775427,1000,240.252104
784.245606,1000,241.559608
752.724809,1000,242.985797
842.206145,1000,244.296293
379.657715,1000,245.717495
442.991083,1000,247.022007
738.32774,1000,248.441213
684.407197,1000,249.751678
621.468434,1000,251.175903
666.022987,1000,252.478421
806.076211,1000,253.909564
700.607261,1000,255.229037
-160.604105,1000,256.657252
832.747444,1000,257.961767
351.577352,1000,259.38393
826.278112,1000,260.700446
712.321314,1000,262.129627
608.013383,1000,263.449064
857.199476,1000,264.887256
681.581971,1000,266.197751
301.977531,1000,267.622941
903.009079,1000,268.929452
780.902747,1000,270.353643
582.791605,1000,271.669095
742.419833,1000,273.101266
643.567759,1000,274.414757
-181.114738,1000,275.846961
206.407177,1000,277.165436
273.693656,1000,278.601599
1058.141959,1000,279.929048
680.366662,1000,281.400083
956.473662,1000,282.780393
932.945512,1000,284.208612
862.374475,1000,285.513122
778.192497,1000,286.932862
920.334001,1000,288.240403
743.363438,1000,289.666555
750.557404,1000,290.983035
484.690803,1000,292.405234
765.503147,1000,293.716763
942.406698,1000,295.026262
897.236656,1000,296.457438
90.508655,1000,297.777909
885.332028,1000,299.209048
919.654499,1000,300.520543
980.143245,1000,301.947762
967.079819,1000,303.269229
575.041117,1000,304.69841
1009.765661,1000,306.006879
279.610585,1000,307.433066
1063.336436,1000,308.738576
881.92804,1000,310.166792
-211.931532,1000,311.482243
981.605218,1000,312.911422
1104.239359,1000,314.222917
929.971836,1000,315.662103
-219.561248,1000,316.988557
642.360954,1000,318.424686
931.21283,1000,319.742164
1014.761338,1000,321.168352
877.336312,1000,322.473862
814.449784,1000,323.903077
1026.765045,1000,325.217562
-549.120634,1000,326.660671
807.70793,1000,327.969174
