# {"t_start": 1596453386.6760395, "env_id": "Hopper-v2"} 
r,l,t
7.179689,13,0.244999
11.303377,13,0.266974
7.530988,22,0.299884
8.221646,25,0.336298
7.841293,22,0.371238
18.187959,31,0.408873
6.901608,12,0.424464
15.131395,22,0.455738
6.667799,17,0.486979
34.222018,44,0.549467
10.54266,12,0.565089
11.86765,21,0.58071
8.454181,14,0.611954
8.723341,11,0.627572
14.585933,32,0.674675
5.231373,8,0.686643
10.411333,14,0.705592
7.631636,18,0.733517
10.967312,15,0.755491
4.780232,17,0.778396
12.933918,19,0.805357
8.582953,17,0.828264
7.248697,13,0.847247
12.208272,14,0.87617
10.910442,24,0.909049
7.903193,18,0.935012
5.804873,24,0.967922
8.351913,18,0.992825
11.002952,28,1.031573
6.514796,19,1.062781
9.334675,17,1.078405
8.073905,11,1.094057
5.044981,7,1.109681
12.825468,24,1.140923
10.015097,28,1.187753
3.382261,15,1.203406
7.461239,17,1.234651
4.006939,19,1.250273
5.076363,11,1.265894
10.101921,18,1.297133
5.562582,17,1.312723
8.580034,13,1.328377
8.388299,16,1.359588
10.976938,15,1.375244
24.701007,26,1.406487
6.502351,23,1.437704
4.885287,21,1.468976
6.597779,13,1.484594
4.351821,20,1.515835
6.771518,26,1.562698
4.381851,14,1.578319
10.313466,16,1.593941
11.504013,15,1.60953
9.13504,11,1.641071
7.886842,14,1.660983
4.660043,19,1.687911
9.64557,24,1.723815
9.522202,17,1.749747
11.795932,15,1.77069
10.492665,20,1.79869
6.649345,15,1.814344
17.453648,18,1.829966
10.735039,14,1.86121
13.005347,24,1.892421
12.606993,27,1.923661
7.587684,16,1.954904
11.358271,13,1.970558
7.316621,26,2.001801
6.398319,14,2.017425
16.094574,27,2.064286
8.589189,12,2.079876
5.446596,8,2.079876
7.40308,13,2.09553
2.255997,16,2.126775
3.631919,15,2.142397
5.25137,13,2.158014
4.973154,17,2.189225
11.747953,18,2.204846
10.910463,19,2.236123
14.53159,20,2.267366
8.180405,12,2.282985
16.21755,21,2.314227
8.624896,13,2.329849
9.376049,26,2.361093
6.110855,14,2.392337
5.910218,9,2.392337
5.700757,11,2.407955
7.790429,11,2.423577
16.50636,22,2.454791
4.552456,9,2.470441
7.037251,10,2.486065
6.192092,14,2.501652
8.453542,26,2.532893
9.059594,14,2.564136
5.608159,16,2.579759
6.020436,12,2.595411
7.491658,15,2.611037
12.393221,15,2.644616
8.269092,19,2.671579
3.445556,24,2.704455
4.970199,28,2.746377
8.379084,13,2.764327
8.968891,14,2.784273
11.977423,15,2.804188
7.4909,13,2.823172
11.638801,15,2.844115
7.227742,11,2.859073
11.014366,16,2.880984
9.446215,16,2.903954
9.558981,14,2.922904
20.272665,26,2.954654
14.328584,15,2.970277
9.169759,11,2.985866
11.685268,17,3.017109
17.304585,27,3.048384
8.163169,10,3.063973
12.049081,21,3.095248
23.332033,25,4.285455
6.301003,10,4.301077
17.600257,31,4.347939
19.661118,26,4.379183
9.989416,18,4.410425
12.788806,15,4.426048
12.471633,16,4.441669
7.123018,17,4.472911
4.834438,21,4.514834
4.180225,15,4.528197
6.930145,11,4.543821
8.764349,17,4.575064
12.5114,25,4.606307
11.992571,15,4.621929
7.50473,19,4.663871
11.892829,15,4.684815
8.292407,28,4.72018
6.361626,15,4.735802
6.402104,24,4.767044
8.413452,12,4.782666
11.112172,17,4.813909
5.234793,16,4.829531
8.768591,22,4.860773
11.545839,20,4.892015
20.346115,21,4.923258
6.084954,18,4.938881
8.501642,20,4.970123
12.61279,15,5.001365
22.680166,23,5.032608
7.312818,11,5.04823
15.030576,22,5.079971
18.544361,24,5.114878
7.446647,15,5.138814
15.082316,26,5.179704
9.815625,12,5.200648
7.781963,17,5.229571
15.258951,23,5.266472
4.92997,12,5.284425
10.814554,16,5.309359
12.683498,26,5.348254
7.96345,24,5.385155
13.92278,22,5.418067
10.028911,11,5.436019
9.38761,21,5.468931
9.381627,14,5.489876
13.692234,21,5.519685
8.697597,13,5.537638
15.726126,23,5.555063
17.538213,20,5.586306
13.282343,24,5.617548
16.762153,21,5.662485
19.980525,25,5.69839
5.168324,22,5.741275
12.161382,13,5.774186
11.448878,13,5.805104
7.066241,14,5.85497
8.191202,17,5.905832
8.862102,23,5.957701
9.658179,16,5.991607
9.898085,18,6.019267
22.058585,22,6.051709
7.233749,16,6.080013
11.008061,13,6.100694
9.934121,12,6.118379
18.051752,30,6.165654
7.003869,12,6.184602
10.522793,16,6.209536
10.974403,18,6.235467
9.437812,25,6.27137
25.331029,31,6.318245
3.133291,20,6.348165
9.736208,18,6.376091
9.03129,13,6.390695
6.81295,21,6.421941
7.682369,29,6.453183
10.020339,12,6.468806
10.918052,15,6.500047
11.995954,13,6.51567
13.914868,17,6.544469
20.889312,27,6.574129
3.659789,14,6.604126
9.357695,27,6.647012
6.59127,8,6.659979
4.439508,23,6.694884
20.112441,22,6.728794
6.836883,16,6.753726
6.473274,12,6.771678
7.874869,23,6.806584
14.790756,18,6.832516
8.386734,13,6.850468
4.580983,11,6.867424
9.181921,19,6.897343
8.905174,11,6.912303
10.249545,16,6.935241
7.251091,21,6.965161
7.99261,11,6.967276
10.07915,25,7.014144
7.059101,9,7.014144
6.895023,9,7.041746
9.384801,22,7.074656
14.643125,20,7.104575
25.161567,24,7.139481
32.734322,43,7.202313
4.023849,24,7.23722
2.916537,18,7.264148
11.0068,15,7.285092
6.215465,12,7.304042
7.733128,22,7.334959
9.793105,23,7.357231
8.90732,23,7.510238
10.193633,20,7.53916
13.915923,17,7.565123
8.602433,14,7.586069
50.575333,50,7.661873
31.530447,27,7.700761
42.113918,43,7.76459
14.715506,20,7.792516
13.5674,18,7.818445
16.179716,26,7.854147
15.779267,21,7.885359
9.805024,17,7.912652
7.803725,12,7.931604
29.671984,35,7.985459
26.018307,33,8.035329
8.544834,12,8.053279
7.843396,14,8.075185
17.921352,20,8.106103
7.733617,10,8.121062
10.977038,18,8.148987
11.743558,26,8.189911
7.986495,18,8.215842
18.769373,24,8.242467
25.100052,25,8.273679
11.908332,14,8.289333
8.084694,11,8.317988
11.44494,18,8.343953
4.84066,13,8.363899
12.747777,27,8.402796
10.773486,14,8.426701
8.867513,21,8.459611
6.542571,17,8.477663
18.989499,22,8.508942
19.52416,21,8.540184
6.900228,10,8.555804
17.824122,33,8.602668
19.145939,24,8.641282
30.126963,48,8.72004
12.327893,15,8.766913
16.83495,19,8.831083
35.859563,36,8.909191
36.163639,39,8.987298
32.415518,32,9.034195
7.637548,10,9.049786
23.260545,38,9.112309
7.151875,17,9.12789
33.738619,32,9.174791
4.203086,13,9.206031
17.887987,23,9.237273
25.175601,30,9.284136
56.263541,63,9.377864
39.337015,47,9.46247
11.717985,17,9.487403
30.347301,27,9.527297
45.62844,52,9.613036
27.120287,36,9.665198
21.729563,23,9.699075
11.208505,19,9.729991
20.328534,22,9.767923
21.773814,21,9.799839
44.949279,43,9.861673
10.649976,17,9.886574
38.129161,39,9.938631
11.045659,29,9.969875
14.874559,27,10.016771
11.202954,16,10.032393
34.474912,36,10.094845
7.502696,9,10.094845
38.66904,36,10.157366
34.729204,35,10.204229
13.935878,23,10.235471
15.021484,20,10.266714
12.629464,20,10.297923
13.657875,26,10.335768
24.812943,29,10.379653
12.733971,21,10.41057
13.308702,20,10.441519
5.347934,11,10.458478
50.049846,52,10.533001
13.506917,14,10.552979
17.23401,38,10.593343
7.692651,13,10.608965
33.617657,33,10.796171
27.486874,38,10.86103
65.608771,78,10.973727
35.935598,46,11.029954
6.197702,9,11.05432
44.970811,55,11.127194
10.75527,20,11.158435
21.649803,20,11.174057
