# {"t_start": 1596459736.7439277, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
45.001032,5,0.1122
35.509119,4,0.119182
26.916904,3,0.124169
45.423494,5,0.131118
44.410344,5,0.139095
63.728874,7,0.150068
45.078374,5,0.15808
35.890713,4,0.164029
35.796403,4,0.171042
54.10762,6,0.178989
35.602856,4,0.185971
100.21402,11,0.202958
35.44201,4,0.208943
36.08825,4,0.214928
35.338559,4,0.22091
54.681924,6,0.229855
91.403905,10,0.245812
45.222232,5,0.252792
54.343837,6,0.261768
35.997768,4,0.268783
54.058268,6,0.27776
36.04341,4,0.284707
35.996883,4,0.290724
35.309351,4,0.300975
54.408669,6,0.309917
54.844975,6,0.318892
26.769897,3,0.323879
73.243684,8,0.335847
44.896653,5,0.34386
92.130239,10,0.357821
45.335137,5,0.365767
36.040308,4,0.371783
54.355003,6,0.380762
35.830352,4,0.387741
54.831851,6,0.396719
36.064756,4,0.403699
45.500125,5,0.411678
64.145034,7,0.42165
45.284423,5,0.429629
45.280456,5,0.437608
54.551677,6,0.446584
72.629476,8,0.458552
35.656214,4,0.464535
72.903245,8,0.476506
35.915161,4,0.483453
54.002163,6,0.492464
54.063583,6,0.501405
45.058974,5,0.508421
35.721053,4,0.514405
35.988347,4,0.520397
26.855554,3,0.525373
35.437583,4,0.531358
54.66703,6,0.540335
45.328894,5,0.547314
45.235198,5,0.556293
35.886634,4,0.562274
45.233436,5,0.569271
35.713409,4,0.575244
72.712865,8,0.587208
26.70943,3,0.592196
63.740993,7,0.603166
54.576927,6,0.612139
36.051277,4,0.618125
26.902085,3,0.623113
35.660911,4,0.629096
54.110294,6,0.638073
45.236867,5,0.645055
35.807219,4,0.652002
72.153487,8,0.663007
36.15606,4,0.669954
36.104402,4,0.675973
45.379984,5,0.682919
36.192074,4,0.688938
45.118255,5,0.696916
54.491838,6,0.705891
35.803414,4,0.711875
35.548784,4,0.71786
54.370489,6,0.726836
54.390743,6,0.735812
45.154947,5,0.742795
35.539988,4,0.748776
35.54366,4,0.75476
26.872393,3,0.759748
45.529205,5,0.766715
73.779332,8,0.778696
35.900751,4,0.784682
54.803996,6,0.793656
45.248571,5,0.800641
35.659949,4,0.806623
91.649684,10,0.822581
45.505741,5,0.82956
54.53477,6,0.837539
35.926592,4,0.843527
26.906253,3,0.848512
73.11484,8,0.861469
44.812006,5,0.868458
45.002183,5,0.876402
35.787664,4,0.882385
54.839727,6,0.890397
44.774737,5,0.898376
73.199321,8,0.910346
82.180593,9,0.923312
26.886329,3,0.927302
63.252263,7,0.938269
45.584472,5,0.94525
72.673049,8,0.958221
45.137096,5,0.966162
44.882637,5,0.976137
73.562596,8,0.988136
35.972061,4,0.99412
54.368651,6,1.00406
54.446461,6,1.013036
72.945201,8,1.025038
35.364003,4,1.031987
26.832297,3,1.036974
63.788388,7,1.047942
45.517167,5,1.055957
63.443333,7,1.065898
26.80807,3,1.070953
63.952117,7,1.080928
26.775033,3,1.085915
35.598728,4,1.091894
26.842057,3,1.096885
36.221381,4,1.102866
45.507169,5,1.109816
35.393906,4,1.115833
26.825559,3,1.120821
35.892386,4,1.126804
54.52761,6,1.13578
36.105334,4,1.142765
45.381886,5,1.149708
35.577794,4,1.155727
35.722687,4,1.161677
35.603527,4,1.168659
35.956295,4,1.174678
36.0321,4,1.180659
82.307019,9,1.193625
35.300484,4,1.199579
63.407215,7,1.210582
45.124912,5,1.217529
63.670287,7,1.227534
35.576531,4,1.234483
54.57755,6,1.243459
26.854083,3,1.24748
35.945836,4,1.254462
35.350214,4,1.259461
54.374979,6,1.269389
54.248955,6,1.277413
72.851548,8,1.289368
45.279301,5,1.297347
36.035477,4,1.303338
44.652335,5,1.311312
36.133186,4,1.317297
44.898583,5,1.324275
45.451998,5,1.331256
45.577033,5,1.339235
45.127051,5,1.34622
44.442185,5,1.3542
54.781749,6,1.363171
36.125667,4,1.369156
35.643464,4,1.375139
36.070816,4,1.381125
45.249683,5,1.389104
26.721739,3,1.393092
82.234281,9,1.407055
45.182336,5,1.414035
54.374453,6,1.423011
35.944916,4,1.428997
44.7913,5,1.436942
36.215488,4,1.44296
35.911185,4,1.448943
64.030705,7,1.458917
35.928938,4,1.4649
36.070353,4,1.471329
45.26548,5,1.478313
35.819841,4,1.484262
35.561654,4,1.491276
45.34792,5,1.498258
35.38603,4,1.504241
54.725041,6,1.51322
35.864763,4,1.519206
36.327496,4,1.525186
36.032336,4,1.531137
73.627737,8,1.543138
63.800028,7,1.554107
64.093159,7,1.564085
54.3543,6,1.57429
35.850191,4,1.580274
44.903924,5,1.587256
54.208428,6,1.595234
63.316238,7,1.606206
36.046494,4,1.612189
63.503272,7,1.62316
36.165709,4,1.629147
35.383387,4,1.635129
35.755114,4,1.641113
35.911018,4,1.647095
35.861307,4,1.653083
45.229454,5,1.661061
45.169626,5,1.66904
63.705806,7,1.67901
63.777244,7,1.688985
45.285918,5,1.695968
45.158701,5,1.703911
45.213894,5,1.710926
45.236705,5,1.718872
36.210439,4,1.72489
54.382865,6,1.733832
35.621734,4,1.739815
82.927586,9,1.752814
54.548224,6,1.761791
45.244552,5,1.768762
63.625576,7,1.779741
35.466351,4,1.78573
35.969222,4,1.791712
63.540524,7,1.802647
36.399686,4,1.808664
63.883147,7,1.818637
36.328835,4,1.824622
73.501206,8,1.836593
35.96338,4,1.842575
72.841005,8,1.853544
35.962409,4,1.859528
63.398091,7,1.870499
54.392117,6,1.878445
44.946557,5,1.887457
45.130779,5,1.894438
45.138866,5,1.902416
72.929709,8,1.913386
35.266415,4,1.920365
63.82982,7,1.930338
45.327081,5,1.938318
45.622159,5,1.945307
36.24005,4,1.951251
45.009419,5,1.958266
45.49548,5,1.966243
35.500098,4,1.973225
63.544754,7,1.984163
35.810152,4,1.991179
63.861154,7,2.002141
63.687259,7,2.013085
54.249363,6,2.022093
54.288973,6,2.030071
26.837385,3,2.03506
35.49545,4,2.04204
54.131629,6,2.049985
54.751575,6,2.058998
35.42428,4,2.064981
35.416005,4,2.07196
36.00428,4,2.077944
35.449313,4,2.083896
63.746679,7,2.092904
26.808188,3,2.097891
82.56765,9,2.111854
82.471952,9,2.123823
26.734357,3,2.128811
63.64634,7,2.138782
26.850683,3,2.143769
35.82771,4,2.14972
35.515428,4,2.156734
54.68287,6,2.16571
63.724433,7,2.175683
35.820789,4,2.180669
36.198745,4,2.187618
45.160459,5,2.194632
35.479583,4,2.200584
36.006187,4,2.207597
35.833347,4,2.213582
45.040948,5,2.220563
26.867229,3,2.225517
44.892421,5,2.232533
26.819342,3,2.238519
35.355329,4,2.243504
44.732297,5,2.251448
35.740483,4,2.257465
36.105088,4,2.263449
91.280176,10,2.278413
45.311373,5,2.285359
26.858747,3,2.290345
54.660948,6,2.299354
64.005359,7,2.309325
82.297308,9,2.32329
35.54723,4,2.328277
54.770329,6,2.337259
54.039944,6,2.346228
45.347429,5,2.354206
63.336372,7,2.363188
45.014959,5,2.371128
82.468605,9,2.384093
54.552766,6,2.393101
26.755676,3,2.398092
54.082073,6,2.407031
35.733303,4,2.413049
26.872117,3,2.417037
45.638959,5,2.425017
44.980321,5,2.432997
45.151305,5,2.439944
54.685037,6,2.447958
64.08933,7,2.458929
54.573462,6,2.466907
45.061779,5,2.474895
45.689499,5,2.482903
26.802315,3,2.4869
45.190917,5,2.49487
54.265314,6,2.503845
26.822573,3,2.508833
36.134928,4,2.514818
35.693203,4,2.520801
54.264598,6,2.529763
63.764038,7,2.539752
72.731035,8,2.551686
45.388975,5,2.559705
63.950084,7,2.570674
35.793631,4,2.576652
26.694622,3,2.580681
