# {"t_start": 1596456284.82971, "env_id": "Reacher-v2"} 
r,l,t
-130.503811,50,0.140558
-120.350111,50,0.218664
-149.325887,50,0.281183
-106.262849,50,0.343637
-101.906181,50,0.421777
-105.759124,50,0.491582
-106.663537,50,0.556411
-115.281761,50,0.622231
-97.86591,50,0.685143
-96.287752,50,0.747659
-110.264651,50,0.810114
-115.313193,50,0.872636
-135.850481,50,0.935118
-146.547105,50,0.997608
-109.128031,50,1.060056
-134.862311,50,1.122577
-114.647993,50,1.20068
-124.575423,50,1.263134
-90.665729,50,1.325651
-107.400049,50,1.388138
-111.633971,50,1.45059
-98.077903,50,1.533698
-99.985794,50,1.598525
-116.561259,50,1.663378
-153.455142,50,1.730206
-166.021807,50,1.782196
-100.389344,50,1.844699
-112.600486,50,1.907187
-123.190196,50,1.98529
-107.42303,50,2.047777
-139.259331,50,2.110262
-115.825765,50,2.172747
-135.056326,50,2.235234
-122.999185,50,2.297719
-102.45023,50,2.360172
-114.898658,50,2.422689
-127.569689,50,2.498494
-103.89223,50,2.56332
-148.111402,50,2.628145
-152.578678,50,2.693936
-108.19503,50,3.500442
-111.897624,50,3.565267
-83.403924,50,3.630094
-122.504109,50,3.695919
-107.337985,50,3.761742
-114.283767,50,3.82657
-98.849992,50,3.881555
-114.924498,50,3.944047
-83.265082,50,4.006527
-102.314665,50,4.069014
-107.307787,50,4.131497
-84.505094,50,4.193985
-96.016984,50,4.272088
-114.544781,50,4.334543
-124.537864,50,4.397061
-134.118336,50,4.459547
-94.651477,50,4.529238
-109.617642,50,4.594067
-143.953029,50,4.658891
-100.579757,50,4.725712
-116.408456,50,4.790541
-89.631704,50,4.841527
-82.624845,50,4.904012
-111.949113,50,4.982087
-96.188974,50,5.044573
-109.655428,50,5.10709
-128.449319,50,5.169544
-126.738708,50,5.232031
-137.922187,50,5.294541
-113.963155,50,5.357
-114.039305,50,5.419516
-92.735834,50,5.494381
-147.463636,50,5.559239
-94.442234,50,5.624067
-110.225183,50,5.689857
-121.441785,50,5.754718
-147.756825,50,5.818515
-136.343306,50,5.875932
-96.078478,50,5.938418
-122.342945,50,6.000901
-91.096258,50,6.063389
-115.140723,50,6.235188
-100.095396,50,6.297708
-105.419114,50,6.360192
-98.833817,50,6.422679
-85.748062,50,6.500508
-124.133479,50,6.565334
-137.486722,50,6.630175
-114.146117,50,6.696982
-98.056697,50,6.762805
-85.336942,50,6.812813
-159.210165,50,6.890953
-124.597695,50,6.953438
-108.878514,50,7.015929
-115.422943,50,7.078408
-103.230183,50,7.140899
-111.223635,50,7.203381
-120.29182,50,7.26587
-101.879582,50,7.328352
-85.341844,50,7.390836
-95.424911,50,7.468945
-98.031415,50,7.537847
-82.276538,50,7.602676
-112.361599,50,7.667501
-125.699845,50,7.73249
-94.020874,50,7.794975
-70.1671,50,7.85746
-102.133846,50,7.919945
-122.707983,50,7.982431
-116.001843,50,8.04493
-122.084794,50,8.107401
-100.303355,50,8.169892
-112.009893,50,8.247994
-125.717055,50,8.310479
-109.140889,50,8.372964
-85.862128,50,8.435451
-109.551993,50,8.506672
-123.885786,50,8.571502
-93.047483,50,8.641315
-101.83109,50,8.708133
-111.179441,50,8.766494
-108.016406,50,8.828976
-117.120187,50,9.000813
-93.915719,50,9.063265
-102.533634,50,9.12575
-87.388328,50,9.195219
-84.34364,50,9.25774
-92.884168,50,9.320224
-81.124348,50,9.382709
-138.020024,50,9.445161
-99.905427,50,9.523377
