# {"t_start": 1596462557.249728, "env_id": "Swimmer-v2"} 
r,l,t
-12.874152,1000,1.393379
-14.780093,1000,2.676989
-7.193481,1000,4.759478
-11.388308,1000,6.043295
24.565681,1000,7.421445
23.121124,1000,8.705363
48.681619,1000,10.109848
42.978931,1000,11.40776
21.391672,1000,12.808538
25.093862,1000,14.083036
14.324413,1000,15.471194
34.676698,1000,16.77069
32.873503,1000,18.187998
34.016839,1000,19.46519
17.941021,1000,20.866222
19.911899,1000,22.147114
14.562472,1000,23.537099
23.67127,1000,24.821028
19.768773,1000,26.222554
20.191076,1000,27.495855
25.409321,1000,28.876879
22.952479,1000,30.176152
23.553718,1000,31.570589
23.09615,1000,32.836965
23.136389,1000,34.26243
24.998468,1000,35.563919
27.160808,1000,36.952199
25.458245,1000,38.248333
28.920685,1000,39.627101
26.987624,1000,40.915584
31.528756,1000,42.311868
34.350049,1000,43.581056
30.14499,1000,44.972637
30.956872,1000,46.267978
32.228938,1000,47.665455
32.851814,1000,48.94941
35.324223,1000,50.330931
36.242659,1000,51.628105
38.014062,1000,53.024379
35.867345,1000,54.323704
31.288834,1000,55.715032
38.168338,1000,56.999446
34.610836,1000,58.300488
37.117641,1000,59.69563
48.23677,1000,60.977739
40.752464,1000,62.371143
40.618168,1000,63.655211
46.80651,1000,65.04944
28.425319,1000,66.352751
36.428582,1000,67.743818
37.05983,1000,69.027729
28.291565,1000,70.468044
39.858676,1000,71.799777
36.653608,1000,73.207007
39.21492,1000,74.493621
41.609611,1000,75.886943
33.407668,1000,77.187411
40.455592,1000,78.580213
29.424915,1000,79.865077
30.550225,1000,81.269746
42.109044,1000,82.559021
29.481106,1000,83.962362
33.393876,1000,85.250408
40.39289,1000,86.646008
37.422982,1000,87.930018
37.562463,1000,89.348206
40.869902,1000,90.620847
40.938957,1000,92.013413
44.454959,1000,93.314757
42.192199,1000,94.709928
40.196508,1000,95.993056
39.372408,1000,97.398515
40.956846,1000,98.671386
37.451315,1000,100.0828
33.599146,1000,101.368786
42.227638,1000,102.758088
43.221751,1000,104.043539
39.615664,1000,105.45422
42.433577,1000,106.73666
43.512154,1000,108.142553
40.405085,1000,109.431319
37.859108,1000,110.824588
43.889415,1000,112.132031
43.724061,1000,113.517623
35.007383,1000,114.818022
41.00312,1000,116.106218
46.206831,1000,117.512826
34.509865,1000,118.793621
35.548537,1000,120.206812
34.454801,1000,121.490162
43.489436,1000,122.883121
39.686956,1000,124.176729
38.065483,1000,125.559334
39.25168,1000,126.843088
39.489473,1000,128.2507
41.253542,1000,129.524378
50.34212,1000,130.918369
41.739409,1000,132.207956
41.472958,1000,133.59384
41.565044,1000,134.893293
46.891648,1000,136.303304
43.863757,1000,137.590352
44.236333,1000,139.0258
41.338651,1000,140.390213
45.784076,1000,141.792042
42.739672,1000,143.083292
46.825894,1000,144.477463
47.458389,1000,145.762364
47.873968,1000,147.1713
47.91707,1000,148.455293
46.010826,1000,149.847691
45.545848,1000,151.148399
41.909322,1000,152.543616
44.362139,1000,153.840998
46.681117,1000,155.25946
46.458793,1000,156.568465
44.272821,1000,157.958548
42.902131,1000,159.252838
45.881648,1000,160.635863
46.326618,1000,161.937075
51.153325,1000,163.338585
50.282025,1000,164.617757
43.530861,1000,165.993595
51.131262,1000,167.277986
45.837713,1000,168.671803
50.068397,1000,169.955727
51.913786,1000,171.372409
49.936536,1000,172.790457
45.46291,1000,174.196918
46.239159,1000,175.734395
50.546927,1000,177.111756
47.346467,1000,178.524207
44.500644,1000,179.821808
50.221449,1000,181.21524
45.788068,1000,182.499039
50.213486,1000,183.893002
50.730087,1000,185.191635
