# {"t_start": 1596454802.745585, "env_id": "Walker2d-v2"} 
r,l,t
-9.649658,15,0.109317
-0.759971,8,0.109317
-2.305137,7,0.12497
-0.168142,15,0.156211
-2.374892,10,0.171803
-7.582918,11,0.187424
-4.808843,9,0.187424
-5.613997,14,0.218702
-7.708071,9,0.234318
0.919565,15,0.249941
-1.847207,12,0.265565
-9.071253,13,0.281184
-1.389586,12,0.312429
-3.287506,11,0.328049
2.751628,20,0.359291
0.915661,13,0.374913
-2.104549,11,0.390536
-4.398355,11,0.406155
-4.065599,9,0.421779
-5.623969,11,0.4374
-5.723949,9,0.4374
-7.985927,12,0.46864
-11.677498,17,0.484263
7.605916,21,0.531127
-2.161787,13,0.54675
-6.813473,9,0.562372
-7.282504,11,0.580417
-3.295303,10,0.59541
-3.071909,13,0.614359
-3.794987,11,0.630317
-6.822978,8,0.642286
-4.287584,9,0.656215
-2.702021,11,0.672205
-7.262971,16,0.697137
-4.032988,14,0.718082
-1.882067,12,0.735039
-3.968212,9,0.749001
-4.782394,10,0.762966
-3.286323,16,0.778997
-1.094136,10,0.794657
-8.934131,12,0.810274
-0.581051,12,0.825895
-9.654009,13,0.841516
-5.32237,12,0.857143
-5.438142,9,0.87276
-2.207507,15,0.904003
-10.200676,9,0.904003
-0.807057,12,0.919627
-9.526225,9,0.935243
-3.096262,15,0.966486
-3.044985,9,0.982109
-4.656677,7,0.982109
-6.479817,10,0.99773
-1.535621,13,1.028974
-0.859051,10,1.028974
-0.245134,9,1.044598
-4.670672,12,1.060229
-6.267734,9,1.075837
-9.059886,18,1.107079
-4.193522,10,1.122701
-1.652397,12,1.138324
-4.79498,7,1.153946
-2.990988,9,1.153946
-4.155275,9,1.16957
-3.29497,11,1.185187
-7.809839,11,1.200808
-5.50577,10,1.21643
-2.607613,13,1.232051
0.296624,21,1.263294
-4.241124,10,1.278917
-8.879061,13,1.29454
-2.118445,17,1.325778
-2.383737,9,1.341401
-3.046858,8,1.341401
-4.501723,8,1.357025
-2.17876,12,1.372644
-6.472287,9,1.388267
-6.031002,10,1.403887
-8.742072,18,1.435127
-6.600706,20,1.450749
-10.343085,17,1.48199
-1.554426,14,1.497616
-7.651674,10,1.513202
-1.127416,8,1.528823
-2.504031,15,1.560098
-1.349492,8,1.560098
-8.873978,12,1.591427
-2.504939,11,1.607388
-3.781294,10,1.621348
-8.709189,16,1.645284
-4.811686,8,1.657252
-6.249156,8,1.669225
-5.08981,11,1.684179
-8.882755,17,1.711108
-11.163102,17,1.735044
-2.164283,10,1.750005
0.700695,14,1.769918
-2.364933,17,1.793887
0.487924,11,1.810842
0.964929,12,1.827798
-4.327786,11,1.843753
-1.672521,13,1.862703
-7.770587,8,1.874671
2.745402,19,1.901599
-2.497885,11,1.917557
-4.919922,9,1.918652
-2.624388,12,1.934307
-4.768224,12,1.949931
-1.927963,14,1.981174
-2.500175,8,1.996793
-6.116934,8,1.996793
-5.662561,14,2.028034
-1.780331,10,2.028034
0.549833,13,2.059276
-9.224604,9,2.0749
-4.00898,15,2.090518
-14.757805,16,2.106148
0.521246,14,2.137383
-1.47253,10,2.153004
-8.134377,19,2.168626
-4.988741,9,2.184249
-7.755117,11,2.199872
-4.628423,9,2.215494
-1.378843,12,2.231116
-1.385052,12,2.246733
-8.044534,12,2.262357
-7.116912,21,2.293596
-2.913202,9,2.309219
-4.842575,7,2.324843
-7.758942,12,2.340464
-4.974522,10,2.356087
-4.734321,11,2.371704
-1.150561,8,2.371704
-2.967241,9,2.387326
-6.999212,12,2.402948
-3.819308,9,2.418572
-11.354385,17,2.449816
-0.970198,9,2.449816
2.006706,17,2.481056
-4.854004,10,2.496675
-10.266497,10,2.512297
-6.906521,9,2.527918
-15.320413,18,2.543539
-4.230454,11,2.559161
1.159932,11,2.587105
-3.004594,10,2.602065
-4.335516,14,2.622014
-6.001381,11,2.637971
-3.632956,11,2.654924
5.774958,20,2.683845
-2.077708,11,2.7008
-5.654245,7,2.711771
-0.152761,9,2.724737
-2.0848,12,2.74269
-2.839514,7,2.752666
-7.42299,10,2.767622
-8.052333,11,2.782583
-4.576482,10,2.797546
-3.901517,10,2.811509
-2.597843,12,2.82846
-4.758939,12,2.845417
-3.890649,9,2.859381
-10.256313,15,2.87242
-0.204876,15,2.888075
-3.790586,10,2.903698
-0.33821,12,2.919319
-2.595795,9,2.934941
3.900298,17,2.966181
-2.609339,13,2.981803
-0.075033,13,2.997424
-2.962935,11,3.013045
-5.546485,12,3.028667
-5.714249,9,3.044291
-5.839641,9,3.059912
-4.458867,9,3.733443
-0.934196,11,3.750398
-2.171931,9,3.763363
0.27497,26,3.800265
-3.415718,9,3.81323
-3.446698,10,3.82819
-1.5976,12,3.845145
-0.163557,13,3.864094
-1.390697,10,3.878057
-8.245974,9,3.89202
-3.267197,13,3.910969
-7.201137,9,3.923934
-5.88993,9,3.930057
-5.509346,8,3.945679
-0.667187,10,3.9613
0.009971,28,3.992543
-6.198134,7,4.008165
0.214302,12,4.023785
0.625446,27,4.055028
-3.457935,10,4.07065
-2.298029,11,4.086272
-4.487103,10,4.101892
-5.225915,11,4.117514
7.68421,24,4.148757
-2.321615,11,4.164378
-4.304026,14,4.19562
-5.010959,13,4.211242
-2.760316,21,4.242484
-0.751713,9,4.258106
-4.904092,11,4.273727
-4.815559,7,4.273727
-5.234958,9,4.289349
